"ejercicio_presupuestario","Trimestre","finalidad_id","finalidad_desc","funcion_id","funcion_desc","jurisdiccion_id","jurisdiccion_desc","subjurisdiccion_id","subjurisdiccion_desc","servicio_id","servicio_desc","programa_id","programa_desc","subprograma_id","subprograma_desc",tipo_medicion,"medicion_fisica_id","medicion_fisica_desc","unidad_medida_id","unidad_medida_desc","totalizador_avance_fisico","programacion_inicial","programacion_inicial_ajustada","ejecutado_vigente_trim4","ejecutado_acumulado_trim4","causa_desvio","causa_desvio_detalle","ultima_actualizacion_fecha"
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",312,"Senado de la Nación",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales","Avance Financiero",1,"Avance Financiero de Proyecto",887,"Pesos","Suma",80.000.000,80.000.000,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",312,"Senado de la Nación",16,"Formación y Sanción de Leyes Nacionales",0,"Formación y Sanción de Leyes Nacionales","Avance Fisico",1,"Avance Físico de Proyecto",506,"% de Avance Físico","Suma",100,100,0,100,"Otras causas","nc",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",313,"Cámara de Diputados",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa","Avance Financiero",1,"Avance Financiero de Proyecto",887,"Pesos","Suma",88.964.732,63.964.732,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",313,"Cámara de Diputados",17,"Formación y Sanción Legislativa",0,"Formación y Sanción Legislativa","Avance Fisico",1,"Avance Físico de Proyecto",506,"% de Avance Físico","Suma",100,0,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",315,"Imprenta del Congreso",19,"Impresiones y Publicaciones Parlamentarias",0,"Impresiones y Publicaciones Parlamentarias","Avance Financiero",1,"Avance Financiero de Proyecto",887,"Pesos","Suma",,,0,0,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",315,"Imprenta del Congreso",19,"Impresiones y Publicaciones Parlamentarias",0,"Impresiones y Publicaciones Parlamentarias","Avance Fisico",1,"Avance Físico de Proyecto",506,"% de Avance Físico","Suma",,,0,2,"Otras causas","Se ejecutaron losas, columnas,tabiques y partes de losas s/2º subsuelo losas s/1º Subsuelo. losas s/Planta baja, losas/1º piso y losas 2º Piso..",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",315,"Imprenta del Congreso",19,"Impresiones y Publicaciones Parlamentarias",0,"Impresiones y Publicaciones Parlamentarias","Meta",139,"Composición e Impresión de Papelería y Publicaciones Parlamentarias",70,"Página","Suma",60.000.000,60.000.000,10.607.295,106.063.980,"La Mejora es Temporal","MAYOR DEMANDA PARLAMENTARIA.-",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",319,"Defensoría del Pueblo",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos","Meta",100,"Investigaciones",146,"Investigación Realizada","Suma",180,180,0,135,"Sin causa de desvío","",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",319,"Defensoría del Pueblo",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos","Meta",722,"Atención al Público",251,"Persona Atendida","Suma",200.000,200.000,0,178.577,"Otras Causas","Incremento de consultas sobre pensiones no contributivas.",28 ene 20
2019,4,1,"ADMINISTRACION GUBERNAMENTAL",1,"Legislativa",1,"Poder Legislativo Nacional",0,"Poder Legislativo Nacional",319,"Defensoría del Pueblo",21,"Defensa de los Derechos de los Ciudadanos",0,"Defensa de los Derechos de los Ciudadanos","Meta",1268,"Actuaciones de Oficio",30,"Caso","Suma",187,187,0,77,"Otras Causas","Se priorizaron las resoluciones de las actuaciones ya iniciadas, en este ejercicio y en los anteriores.",28 ene 20
